# Corr coeff CMAES (n = 102, top 5 considered): (e, T) = -0.268599, t = 0.482974 > 2.353363, p = 0.662168 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 10 considered): (e, T) = -0.325601, t = 0.974014 > 1.859548, p = 0.358577 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 15 considered): (e, T) = 0.022523, t = 0.081230 > 1.770933, p = 0.936496 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 20 considered): (e, T) = 0.403078, t = 1.868638 > 1.734064, p = 0.078037 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 25 considered): (e, T) = 0.242048, t = 1.196400 > 1.713872, p = 0.243729 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 30 considered): (e, T) = 0.152052, t = 0.814051 > 1.701131, p = 0.422485 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 35 considered): (e, T) = 0.155209, t = 0.902547 > 1.692360, p = 0.373307 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 40 considered): (e, T) = 0.100872, t = 0.625003 > 1.685954, p = 0.535704 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 45 considered): (e, T) = 0.030475, t = 0.199931 > 1.681071, p = 0.842477 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 50 considered): (e, T) = -0.077333, t = 0.537391 > 1.677224, p = 0.593480 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 55 considered): (e, T) = 0.031619, t = 0.230306 > 1.674116, p = 0.818741 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 60 considered): (e, T) = 0.187778, t = 1.455973 > 1.671553, p = 0.150792 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 65 considered): (e, T) = 0.207022, t = 1.679576 > 1.669402, p = 0.097993 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 70 considered): (e, T) = 0.338657, t = 2.968014 > 1.667572, p = 0.004135 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 75 considered): (e, T) = 0.243850, t = 2.148302 > 1.665996, p = 0.035008 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 80 considered): (e, T) = 0.154726, t = 1.383164 > 1.664625, p = 0.170561 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 85 considered): (e, T) = 0.228492, t = 2.138228 > 1.663420, p = 0.035438 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 90 considered): (e, T) = 0.248332, t = 2.404898 > 1.662354, p = 0.018272 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 95 considered): (e, T) = 0.157702, t = 1.540094 > 1.661404, p = 0.126933 (t < t_c => R == 0)
# Corr coeff CMAES (n = 102, top 100 considered): (e, T) = 0.095744, t = 0.952193 > 1.660551, p = 0.343342 (t < t_c => R == 0)
# k2;k3;k4;k5;k6;k7;e;Vol;T
# ground truth : 2.100000e+00;1.000000e-01;1.000000e+00;1.000000e-02;1.000000e-01;1.500000e+01;
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-172.mat
1.712491e+00;1.308861e-01;1.103341e+00;6.607511e-03;9.753843e-02;1.796106e+01;5.429451e-01;NaN;8.027184e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-149.mat
1.794790e+00;1.063522e-01;8.955647e-01;4.872477e-03;9.441354e-02;1.637644e+01;5.572442e-01;NaN;6.002316e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-171.mat
1.285739e+00;9.721279e-02;8.181502e-01;1.112623e-02;7.247225e-02;1.841952e+01;5.697563e-01;NaN;6.296590e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-200.mat
2.986020e+00;8.000244e-02;8.661494e-01;7.921154e-03;1.259041e-01;1.308869e+01;6.020566e-01;NaN;7.315940e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-177.mat
3.063608e+00;7.805639e-02;1.131716e+00;9.722912e-03;1.016948e-01;1.050495e+01;6.057324e-01;NaN;6.246402e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-119.mat
1.228693e+00;8.096430e-02;7.953639e-01;1.119531e-02;5.794083e-02;1.566633e+01;6.658970e-01;NaN;5.532277e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-164.mat
2.617440e+00;9.877703e-02;1.044036e+00;1.606191e-02;1.106479e-01;1.421763e+01;6.665791e-01;NaN;8.177153e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-155.mat
1.532484e+00;8.268854e-02;9.092527e-01;4.444625e-03;7.133746e-02;1.416341e+01;7.107202e-01;NaN;6.668222e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-180.mat
1.581167e+00;1.516500e-01;1.177543e+00;6.742878e-03;9.503375e-02;1.863576e+01;7.256988e-01;NaN;6.571682e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-108.mat
1.393679e+00;1.336087e-01;9.650807e-01;4.032758e-03;9.319005e-02;2.069486e+01;8.556621e-01;NaN;5.747126e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-132.mat
2.393264e+00;7.749693e-02;9.192037e-01;2.110888e-03;9.609119e-02;1.214357e+01;8.583942e-01;NaN;8.213642e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-143.mat
2.457049e+00;5.128101e-02;8.624869e-01;4.805478e-03;7.105144e-02;9.207323e+00;8.876588e-01;NaN;5.787635e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-120.mat
