# Corr coeff DC (n = 102, top 5 considered): (e, Vol) = -0.296253, t = 0.537242 > 2.353363, p = 0.628392; (e, T) = 0.256125, t = 0.458929 > 2.353363, p = 0.677493 (t < t_c => R == 0)
# e = (-0.125776) + (-0.763676) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 10 considered): (e, Vol) = 0.328932, t = 0.985182 > 1.859548, p = 0.353389; (e, T) = 0.556799, t = 1.895949 > 1.859548, p = 0.094556 (t < t_c => R == 0)
# e = (1.088754) + (0.426517) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 15 considered): (e, Vol) = 0.291369, t = 1.098197 > 1.770933, p = 0.292042; (e, T) = 0.402344, t = 1.584588 > 1.770933, p = 0.137075 (t < t_c => R == 0)
# e = (1.072026) + (0.373554) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 20 considered): (e, Vol) = 0.313464, t = 1.400501 > 1.734064, p = 0.178366; (e, T) = 0.406921, t = 1.889970 > 1.734064, p = 0.074976 (t < t_c => R == 0)
# e = (1.107404) + (0.389648) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 25 considered): (e, Vol) = 0.173355, t = 0.844160 > 1.713872, p = 0.407275; (e, T) = 0.348632, t = 1.783903 > 1.713872, p = 0.087640 (t < t_c => R == 0)
# e = (0.966884) + (0.216073) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 30 considered): (e, Vol) = 0.167212, t = 0.897438 > 1.701131, p = 0.377137; (e, T) = 0.119699, t = 0.637972 > 1.701131, p = 0.528675 (t < t_c => R == 0)
# e = (0.975461) + (0.208898) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 35 considered): (e, Vol) = 0.198758, t = 1.165019 > 1.692360, p = 0.252364; (e, T) = -0.006960, t = 0.039986 > 1.692360, p = 0.968345 (t < t_c => R == 0)
# e = (1.013334) + (0.235595) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 40 considered): (e, Vol) = 0.119315, t = 0.740802 > 1.685954, p = 0.463367; (e, T) = 0.092608, t = 0.573338 > 1.685954, p = 0.569794 (t < t_c => R == 0)
# e = (0.938708) + (0.140262) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 45 considered): (e, Vol) = 0.153008, t = 1.015296 > 1.681071, p = 0.315644; (e, T) = 0.005049, t = 0.033110 > 1.681071, p = 0.973740 (t < t_c => R == 0)
# e = (0.998330) + (0.191582) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 50 considered): (e, Vol) = 0.141146, t = 0.987777 > 1.677224, p = 0.328215; (e, T) = -0.015004, t = 0.103961 > 1.677224, p = 0.917634 (t < t_c => R == 0)
# e = (1.004267) + (0.186008) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 55 considered): (e, Vol) = 0.172449, t = 1.274543 > 1.674116, p = 0.208031; (e, T) = 0.021874, t = 0.159280 > 1.674116, p = 0.874054 (t < t_c => R == 0)
# e = (1.062850) + (0.238164) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 60 considered): (e, Vol) = 0.229990, t = 1.799796 > 1.671553, p = 0.077095; (e, T) = 0.103049, t = 0.788999 > 1.671553, p = 0.433326 (t < t_c => R == 0)
# e = (1.144997) + (0.317039) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 65 considered): (e, Vol) = 0.220564, t = 1.794875 > 1.669402, p = 0.077471; (e, T) = 0.125184, t = 1.001494 > 1.669402, p = 0.320419 (t < t_c => R == 0)
# e = (1.162202) + (0.323817) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 70 considered): (e, Vol) = 0.139786, t = 1.164134 > 1.667572, p = 0.248438; (e, T) = 0.026126, t = 0.215510 > 1.667572, p = 0.830015 (t < t_c => R == 0)
# e = (1.069976) + (0.210428) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 75 considered): (e, Vol) = -0.003501, t = 0.029913 > 1.665996, p = 0.976218; (e, T) = 0.020232, t = 0.172900 > 1.665996, p = 0.863209 (t < t_c => R == 0)
# e = (0.882745) + (-0.005201) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 80 considered): (e, Vol) = -0.030877, t = 0.272831 > 1.664625, p = 0.785704; (e, T) = 0.110190, t = 0.979137 > 1.664625, p = 0.330539 (t < t_c => R == 0)
# e = (0.854749) + (-0.048221) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 85 considered): (e, Vol) = -0.097911, t = 0.896315 > 1.663420, p = 0.372677; (e, T) = 0.095279, t = 0.872001 > 1.663420, p = 0.385723 (t < t_c => R == 0)
# e = (0.761464) + (-0.162790) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 90 considered): (e, Vol) = -0.123890, t = 1.171213 > 1.662354, p = 0.244675; (e, T) = 0.108451, t = 1.023397 > 1.662354, p = 0.308925 (t < t_c => R == 0)
# e = (0.718803) + (-0.223931) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 95 considered): (e, Vol) = -0.142980, t = 1.393162 > 1.661404, p = 0.166892; (e, T) = 0.146349, t = 1.426700 > 1.661404, p = 0.157015 (t < t_c => R == 0)
# e = (0.675741) + (-0.288657) * ln(Vol)/ln(10)
# Corr coeff DC (n = 102, top 100 considered): (e, Vol) = -0.281444, t = 2.903517 > 1.660551, p = 0.004559; (e, T) = 0.202403, t = 2.046037 > 1.660551, p = 0.043431 (t < t_c => R == 0)
# e = (0.336063) + (-0.675653) * ln(Vol)/ln(10)
# k2;k3;k4;k5;k6;k7;e;Vol;T
# ground truth : 2.100000e+00;1.000000e-01;1.000000e+00;1.000000e-02;1.000000e-01;1.500000e+01;
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-156.mat
1.640355e+00;1.019614e-01;9.480446e-01;7.043704e-03;8.274431e-02;1.563515e+01;4.122591e-01;1.107618e-01;1.645277e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-189.mat
1.814018e+00;9.813843e-02;1.330310e+00;7.131859e-03;6.219558e-02;1.101879e+01;6.508621e-01;8.552712e-02;1.486344e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-194.mat
1.700056e+00;1.272806e-01;1.248949e+00;4.962877e-03;7.890029e-02;1.431596e+01;6.877465e-01;1.097208e-01;1.889373e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-195.mat
1.479459e+00;1.356881e-01;1.254949e+00;6.050534e-03;7.794396e-02;1.633645e+01;7.016044e-01;9.639367e-02;1.807654e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-106.mat
1.517622e+00;9.587117e-02;1.133857e+00;5.249917e-03;6.057467e-02;1.257880e+01;7.096853e-01;1.083868e-01;1.626781e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-131.mat
1.706630e+00;1.048563e-01;1.379855e+00;6.369855e-03;6.022610e-02;1.124919e+01;7.309171e-01;1.324243e-01;1.807852e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-159.mat
1.751141e+00;9.056998e-02;1.215061e+00;4.958655e-03;6.289253e-02;1.107884e+01;7.368340e-01;1.304731e-01;1.944897e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-198.mat
1.628385e+00;9.551237e-02;1.131468e+00;4.388375e-03;6.406249e-02;1.206590e+01;7.430000e-01;1.169493e-01;1.927280e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-169.mat
1.317339e+00;1.151130e-01;1.207055e+00;5.805483e-03;5.918900e-02;1.390689e+01;7.432484e-01;1.095016e-01;2.051349e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-122.mat
1.827119e+00;1.123778e-01;1.375295e+00;4.725741e-03;7.035043e-02;1.196627e+01;7.616066e-01;1.652244e-01;1.966235e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-102.mat
1.600536e+00;1.034229e-01;1.286810e+00;4.768839e-03;6.249857e-02;1.194597e+01;7.718416e-01;1.093694e-01;1.830961e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-153.mat
1.661359e+00;1.175818e-01;1.327867e+00;4.380669e-03;6.855815e-02;1.267547e+01;7.878332e-01;1.469124e-01;1.959249e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-188.mat
1.628605e+00;1.003005e-01;1.383055e+00;5.744093e-03;5.655979e-02;1.106478e+01;7.973630e-01;9.679421e-02;1.621137e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-119.mat
1.469003e+00;1.054514e-01;1.261206e+00;5.019778e-03;5.627634e-02;1.201016e+01;8.002607e-01;1.104447e-01;1.891425e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-154.mat
1.399378e+00;1.144031e-01;1.290019e+00;4.883914e-03;5.990833e-02;1.335355e+01;8.066538e-01;1.387944e-01;1.745534e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-178.mat
1.403725e+00;9.333761e-02;1.114721e+00;4.699546e-03;5.413176e-02;1.210519e+01;8.100081e-01;1.041349e-01;1.932873e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-180.mat
1.456586e+00;1.097306e-01;1.065564e+00;3.169678e-03;7.120015e-02;1.502399e+01;8.106288e-01;1.484653e-01;1.915882e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-141.mat
1.389907e+00;1.064900e-01;1.225538e+00;4.650520e-03;5.642487e-02;1.266188e+01;8.183904e-01;1.393620e-01;1.909629e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-190.mat
1.700403e+00;1.158130e-01;1.385778e+00;4.453222e-03;6.567844e-02;1.198640e+01;8.221106e-01;1.037217e-01;1.815466e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-155.mat
1.431416e+00;1.008631e-01;1.198896e+00;4.632966e-03;5.433768e-02;1.196219e+01;8.237509e-01;1.384676e-01;1.748747e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-113.mat
1.360045e+00;1.138983e-01;1.424310e+00;6.987902e-03;5.049940e-02;1.207962e+01;8.349703e-01;1.031044e-01;2.080918e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-108.mat
1.215255e+00;1.215671e-01;1.245400e+00;5.226110e-03;5.654142e-02;1.452565e+01;8.378544e-01;9.206888e-02;1.850069e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-dc-ca-sample-120.mat
