# Corr coeff CMAES (n = 100, top 5 considered): (e, T) = -0.082199, t = 0.142856 > 2.353363, p = 0.895459 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 10 considered): (e, T) = -0.270807, t = 0.795690 > 1.859548, p = 0.449175 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 15 considered): (e, T) = -0.200275, t = 0.737036 > 1.770933, p = 0.474193 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 20 considered): (e, T) = -0.474377, t = 2.286222 > 1.734064, p = 0.034578 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 25 considered): (e, T) = -0.276583, t = 1.380289 > 1.713872, p = 0.180767 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 30 considered): (e, T) = -0.160664, t = 0.861342 > 1.701131, p = 0.396366 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 35 considered): (e, T) = -0.069113, t = 0.397974 > 1.692360, p = 0.693213 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 40 considered): (e, T) = 0.173207, t = 1.084104 > 1.685954, p = 0.285149 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 45 considered): (e, T) = 0.142042, t = 0.940973 > 1.681071, p = 0.351975 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 50 considered): (e, T) = 0.173911, t = 1.223536 > 1.677224, p = 0.227100 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 55 considered): (e, T) = 0.277930, t = 2.106346 > 1.674116, p = 0.039926 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 60 considered): (e, T) = 0.297938, t = 2.376982 > 1.671553, p = 0.020775 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 65 considered): (e, T) = 0.228115, t = 1.859635 > 1.669402, p = 0.067608 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 70 considered): (e, T) = 0.293337, t = 2.530225 > 1.667572, p = 0.013720 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 75 considered): (e, T) = 0.182165, t = 1.582899 > 1.665996, p = 0.117768 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 80 considered): (e, T) = 0.018727, t = 0.165420 > 1.664625, p = 0.869041 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 85 considered): (e, T) = 0.095377, t = 0.872909 > 1.663420, p = 0.385231 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 90 considered): (e, T) = 0.032169, t = 0.301925 > 1.662354, p = 0.763421 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 95 considered): (e, T) = 0.076727, t = 0.742111 > 1.661404, p = 0.459890 (t < t_c => R == 0)
# Corr coeff CMAES (n = 100, top 100 considered): (e, T) = 0.106659, t = 1.061930 > 1.660551, p = 0.290877 (t < t_c => R == 0)
# k1;k2;k3;k4;k5;k6;e;Vol;T
# ground truth : 2.250000e+00;4.000000e+00;1.000000e+02;1.000000e+00;1.000000e+00;1.000000e+01;
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-98.mat
2.338211e+00;4.058057e+00;1.015116e+02;1.457788e+00;1.121878e+00;1.035812e+01;4.771608e-01;NaN;1.157219e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-64.mat
2.292575e+00;3.946055e+00;9.964653e+01;1.240900e+00;5.059812e-01;1.033364e+01;5.511377e-01;NaN;1.071700e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-115.mat
1.814852e+00;4.144940e+00;5.445120e+01;7.958703e-01;7.825188e-01;1.074607e+01;5.837111e-01;NaN;1.362662e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-108.mat
2.232482e+00;3.848289e+00;1.233910e+02;9.557884e-01;4.409598e-01;9.942616e+00;6.088732e-01;NaN;9.387857e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-106.mat
2.255231e+00;3.838091e+00;6.287234e+01;1.206063e+00;5.460400e-01;9.938576e+00;6.229522e-01;NaN;1.179696e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-99.mat
2.230190e+00;4.068780e+00;4.570645e+01;1.218487e+00;1.226101e+00;9.943373e+00;6.277280e-01;NaN;1.113535e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-109.mat
2.166150e+00;3.990968e+00;1.080475e+02;1.580676e+00;1.214878e+00;9.413948e+00;6.282217e-01;NaN;1.149708e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-38.mat
2.228855e+00;3.834682e+00;8.252963e+01;7.451484e-01;3.910476e-01;9.843347e+00;6.843505e-01;NaN;1.068855e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-66.mat
2.309307e+00;3.853828e+00;1.164136e+02;1.511655e+00;5.626980e-01;1.018437e+01;6.945030e-01;NaN;1.065105e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-102.mat
2.296029e+00;3.905735e+00;3.815720e+01;8.588766e-01;6.934716e-01;1.008295e+01;7.052456e-01;NaN;1.088663e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-37.mat
2.257175e+00;3.842695e+00;6.719852e+01;9.125464e-01;3.817689e-01;1.017774e+01;7.066287e-01;NaN;1.111264e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-94.mat
2.300697e+00;4.094125e+00;6.904824e+01;5.596326e-01;1.485537e+00;1.016258e+01;7.258073e-01;NaN;1.154173e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-40.mat
2.272783e+00;4.061909e+00;3.628073e+01;7.091191e-01;1.229340e+00;9.967102e+00;7.372760e-01;NaN;1.066190e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-86.mat
2.271225e+00;3.827984e+00;1.113473e+02;1.430610e+00;3.988134e-01;1.011919e+01;7.495377e-01;NaN;1.164624e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-89.mat
2.225350e+00;3.817543e+00;7.991142e+01;9.146554e-01;2.839370e-01;9.947150e+00;7.500757e-01;NaN;1.080791e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-97.mat
2.275959e+00;3.858269e+00;9.018756e+01;1.191725e+00;2.826404e-01;1.033614e+01;7.506730e-01;NaN;1.014531e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-130.mat
2.206666e+00;3.796444e+00;9.053999e+01;1.053973e+00;2.481772e-01;9.819672e+00;7.618304e-01;NaN;1.004339e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-57.mat
2.144403e+00;3.939384e+00;4.014737e+01;1.385942e+00;7.280631e-01;9.541489e+00;7.652902e-01;NaN;9.297998e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-70.mat
2.176828e+00;4.075172e+00;3.358608e+01;1.443662e+00;1.147387e+00;9.768020e+00;8.133808e-01;NaN;8.692327e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-71.mat
2.313320e+00;3.814536e+00;9.645394e+01;5.009295e-01;3.569525e-01;1.028472e+01;8.170627e-01;NaN;1.084440e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-114.mat
2.016427e+00;3.826784e+00;1.373186e+02;1.286174e+00;3.341822e-01;9.469738e+00;8.245849e-01;NaN;1.269067e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-49.mat
2.285832e+00;3.981761e+00;2.832768e+01;1.430863e+00;1.037098e+00;1.012474e+01;8.373416e-01;NaN;1.136171e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-129.mat
2.168505e+00;3.781997e+00;6.317701e+01;7.260124e-01;3.011901e-01;9.609800e+00;8.395252e-01;NaN;9.252026e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-110.mat
