# Corr coeff DC (n = 100, top 5 considered): (e, Vol) = 0.663711, t = 1.536894 > 2.353363, p = 0.221912; (e, T) = 0.878995, t = 3.192877 > 2.353363, p = 0.049602 (t < t_c => R == 0)
# e = (2.167883) + (0.086499) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 10 considered): (e, Vol) = 0.385915, t = 1.183188 > 1.859548, p = 0.270700; (e, T) = 0.730194, t = 3.022802 > 1.859548, p = 0.016489 (t < t_c => R == 0)
# e = (2.195534) + (0.072978) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 15 considered): (e, Vol) = -0.064484, t = 0.232987 > 1.770933, p = 0.819400; (e, T) = 0.251538, t = 0.937062 > 1.770933, p = 0.365810 (t < t_c => R == 0)
# e = (1.689282) + (-0.014172) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 20 considered): (e, Vol) = 0.016094, t = 0.068288 > 1.734064, p = 0.946309; (e, T) = 0.216737, t = 0.941928 > 1.734064, p = 0.358700 (t < t_c => R == 0)
# e = (1.928079) + (0.004610) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 25 considered): (e, Vol) = 0.018608, t = 0.089255 > 1.713872, p = 0.929652; (e, T) = 0.334436, t = 1.701897 > 1.713872, p = 0.102255 (t < t_c => R == 0)
# e = (2.031874) + (0.005871) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 30 considered): (e, Vol) = -0.036647, t = 0.194048 > 1.701131, p = 0.847539; (e, T) = 0.387213, t = 2.222302 > 1.701131, p = 0.034516 (t < t_c => R == 0)
# e = (1.991722) + (-0.013778) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 35 considered): (e, Vol) = -0.002769, t = 0.015908 > 1.692360, p = 0.987404; (e, T) = 0.396289, t = 2.479512 > 1.692360, p = 0.018436 (t < t_c => R == 0)
# e = (2.194501) + (-0.001216) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 40 considered): (e, Vol) = -0.143637, t = 0.894717 > 1.685954, p = 0.376571; (e, T) = 0.258124, t = 1.646995 > 1.685954, p = 0.107805 (t < t_c => R == 0)
# e = (1.773810) + (-0.071865) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 45 considered): (e, Vol) = -0.078453, t = 0.516038 > 1.681071, p = 0.608471; (e, T) = 0.325165, t = 2.254782 > 1.681071, p = 0.029294 (t < t_c => R == 0)
# e = (2.065497) + (-0.045839) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 50 considered): (e, Vol) = -0.170632, t = 1.199766 > 1.677224, p = 0.236119; (e, T) = 0.290959, t = 2.106980 > 1.677224, p = 0.040371 (t < t_c => R == 0)
# e = (1.715171) + (-0.106981) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 55 considered): (e, Vol) = -0.250621, t = 1.884694 > 1.674116, p = 0.064960; (e, T) = 0.164109, t = 1.211154 > 1.674116, p = 0.231209 (t < t_c => R == 0)
# e = (1.394867) + (-0.164443) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 60 considered): (e, Vol) = -0.311085, t = 2.492839 > 1.671553, p = 0.015549; (e, T) = 0.125602, t = 0.964195 > 1.671553, p = 0.338951 (t < t_c => R == 0)
# e = (1.145087) + (-0.211227) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 65 considered): (e, Vol) = -0.400094, t = 3.465067 > 1.669402, p = 0.000959; (e, T) = -0.010548, t = 0.083725 > 1.669402, p = 0.933540 (t < t_c => R == 0)
# e = (0.625404) + (-0.291238) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 70 considered): (e, Vol) = -0.393475, t = 3.529370 > 1.667572, p = 0.000752; (e, T) = 0.050816, t = 0.419579 > 1.667572, p = 0.676116 (t < t_c => R == 0)
# e = (0.643817) + (-0.303193) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 75 considered): (e, Vol) = -0.360606, t = 3.303271 > 1.665996, p = 0.001482; (e, T) = 0.015259, t = 0.130389 > 1.665996, p = 0.896617 (t < t_c => R == 0)
# e = (0.814265) + (-0.296845) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 80 considered): (e, Vol) = -0.410786, t = 3.979201 > 1.664625, p = 0.000154; (e, T) = 0.098439, t = 0.873629 > 1.664625, p = 0.385002 (t < t_c => R == 0)
# e = (0.378897) + (-0.367724) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 85 considered): (e, Vol) = -0.407659, t = 4.067253 > 1.663420, p = 0.000108; (e, T) = 0.242906, t = 2.281306 > 1.663420, p = 0.025092 (t < t_c => R == 0)
# e = (0.298347) + (-0.394549) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 90 considered): (e, Vol) = -0.453337, t = 4.771107 > 1.662354, p = 0.000007; (e, T) = 0.253872, t = 2.462196 > 1.662354, p = 0.015758 (t < t_c => R == 0)
# e = (-0.219392) + (-0.477278) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 95 considered): (e, Vol) = -0.478756, t = 5.258806 > 1.661404, p = 0.000001; (e, T) = 0.188678, t = 1.852826 > 1.661404, p = 0.067079 (t < t_c => R == 0)
# e = (-0.349649) + (-0.510831) * ln(Vol)/ln(10)
# Corr coeff DC (n = 100, top 100 considered): (e, Vol) = -0.501450, t = 5.737612 > 1.660551, p = 0.000000; (e, T) = 0.102932, t = 1.024418 > 1.660551, p = 0.308160 (t < t_c => R == 0)
# e = (-0.364850) + (-0.529639) * ln(Vol)/ln(10)
# k1;k2;k3;k4;k5;k6;e;Vol;T
# ground truth : 2.250000e+00;4.000000e+00;1.000000e+02;1.000000e+00;1.000000e+00;1.000000e+01;
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-48.mat
1.946488e+00;4.397906e+00;1.098242e+02;4.955996e-01;2.230348e+00;8.668916e+00;1.350421e+00;1.135121e-08;1.433218e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-54.mat
1.720410e+00;4.228029e+00;2.024525e+02;1.105705e+00;1.819722e+00;7.660180e+00;1.358737e+00;3.470713e-09;1.282939e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-125.mat
3.269222e+00;4.015777e+00;2.398064e+02;3.877563e-01;1.155949e+00;1.434916e+01;1.657743e+00;7.499170e-06;2.068501e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-104.mat
3.101068e+00;4.217036e+00;2.201127e+02;5.836755e-01;1.963162e+00;1.377095e+01;1.682834e+00;1.464889e-08;1.834347e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-107.mat
2.070580e+00;4.171422e+00;2.453167e+02;2.771352e-01;1.481791e+00;9.267634e+00;1.697030e+00;4.076275e-07;1.750149e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-111.mat
2.160719e+00;4.430075e+00;1.753542e+02;1.518759e-01;2.281361e+00;9.674401e+00;1.715582e+00;9.410356e-08;1.947388e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-79.mat
2.945186e+00;4.328127e+00;2.350238e+02;7.474079e-01;2.004633e+00;1.313024e+01;1.759662e+00;2.848802e-07;1.745528e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-52.mat
2.084875e+00;4.310057e+00;2.306838e+02;2.831435e-01;1.942273e+00;9.198254e+00;1.768448e+00;8.557202e-08;1.840730e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-105.mat
1.490879e+00;4.422158e+00;1.596706e+02;2.253359e-01;2.527642e+00;6.551941e+00;1.879817e+00;9.846358e-09;1.791455e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-100.mat
2.516726e+00;4.447137e+00;1.789135e+02;9.629959e-01;2.716144e+00;1.098281e+01;1.898805e+00;2.154238e-07;1.812317e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-116.mat
4.243060e+00;4.388544e+00;1.136275e+02;2.427084e-01;2.276274e+00;1.888457e+01;1.950481e+00;9.197167e-07;2.511193e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-73.mat
2.765634e+00;4.375005e+00;2.419798e+02;4.904047e-01;2.251586e+00;1.228149e+01;1.988804e+00;1.608941e-07;1.657097e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-55.mat
1.940340e+00;4.507306e+00;1.956489e+02;4.097984e-01;2.681782e+00;8.603392e+00;2.036205e+00;5.447519e-09;1.385460e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-49.mat
1.989765e+00;4.573409e+00;1.699409e+02;1.049571e+00;2.909671e+00;8.828173e+00;2.046004e+00;3.416426e-09;1.464205e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-124.mat
3.288117e+00;4.577861e+00;1.495396e+02;2.105066e-01;2.750533e+00;1.480002e+01;2.096958e+00;2.372525e-09;1.813671e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-81.mat
2.172070e+00;4.558066e+00;2.058098e+02;4.954153e-01;2.762729e+00;9.706132e+00;2.122008e+00;6.969806e-09;1.296436e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-46.mat
3.691386e+00;4.264487e+00;2.794504e+02;5.009478e-01;1.545708e+00;1.683842e+01;2.156269e+00;2.117494e-07;1.797443e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-98.mat
3.219208e+00;4.567750e+00;2.183362e+02;2.888264e-01;2.605175e+00;1.452775e+01;2.212104e+00;4.273271e-08;1.749560e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-87.mat
4.550473e+00;4.331290e+00;2.196081e+02;3.517417e-01;2.027470e+00;2.029276e+01;2.240130e+00;1.481629e-07;2.073793e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-36.mat
3.793792e+00;4.179382e+00;2.975957e+02;6.598907e-01;1.412254e+00;1.715836e+01;2.274916e+00;1.753300e-07;1.929754e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-126.mat
2.540143e+00;4.499639e+00;1.554776e+02;4.357394e-01;3.139707e+00;1.110088e+01;2.291040e+00;3.779029e-09;1.739275e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-99.mat
3.892319e+00;4.205060e+00;2.794425e+02;2.183865e-01;1.684640e+00;1.728162e+01;2.316299e+00;1.545403e-06;2.031719e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-dc-ed-sample-127.mat
