# Corr coeff DC (n = 29, top 5 considered): (R_A, Vol) = 0.097382, t = 0.508427 > 1.703288, p = 0.615283; (R_A, T) = -0.354022, t = 1.966938 > 1.703288, p = 0.059545 (t < t_c => R == 0)
# R_A = (0.940394) + (0.001970) * Vol
# Corr coeff DC (n = 29, top 10 considered): (R_A, Vol) = 0.540443, t = 3.337637 > 1.703288, p = 0.002473; (R_A, T) = 0.198475, t = 1.052238 > 1.703288, p = 0.302017 (t < t_c => R == 0)
# R_A = (0.935810) + (0.009271) * Vol
# Corr coeff DC (n = 29, top 15 considered): (R_A, Vol) = 0.586981, t = 3.767341 > 1.703288, p = 0.000816; (R_A, T) = 0.159197, t = 0.837899 > 1.703288, p = 0.409444 (t < t_c => R == 0)
# R_A = (0.933028) + (0.013541) * Vol
# Corr coeff DC (n = 29, top 20 considered): (R_A, Vol) = 0.533765, t = 3.279819 > 1.703288, p = 0.002863; (R_A, T) = 0.365494, t = 2.040323 > 1.703288, p = 0.051209 (t < t_c => R == 0)
# R_A = (0.931371) + (0.015295) * Vol
# k1;k2;k3;k4;k5;k6;R_A;Vol;T
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-114.mat
1.967468e-01;6.494951e+00;6.192684e-01;2.166031e-01;4.072196e+00;3.993470e+00;9.449182e-01;5.587211e-01;7.392988e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-148.mat
1.963695e-01;6.241157e+00;5.702399e-01;2.394308e-01;4.471701e+00;3.567536e+00;9.414700e-01;5.946912e-01;6.342872e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-130.mat
1.911526e-01;6.462694e+00;9.385464e-01;2.525275e-01;3.798931e+00;4.035959e+00;9.411996e-01;3.873113e-01;7.886637e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-139.mat
2.017703e-01;6.078909e+00;7.063189e-01;2.322149e-01;3.544726e+00;4.633483e+00;9.399482e-01;4.376170e-01;7.046429e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-110.mat
2.306498e-01;6.864979e+00;9.723928e-01;2.306012e-01;4.179169e+00;4.473338e+00;9.395748e-01;6.303894e-01;9.505483e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-149.mat
1.766443e-01;6.642256e+00;6.025043e-01;3.182004e-01;3.824915e+00;3.757832e+00;9.391312e-01;5.261496e-01;7.389243e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-145.mat
1.771548e-01;5.967519e+00;7.129145e-01;2.524643e-01;3.901331e+00;3.710098e+00;9.388463e-01;3.851143e-01;7.573268e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-113.mat
1.952931e-01;5.855112e+00;1.042610e+00;2.119960e-01;4.067278e+00;3.839678e+00;9.387096e-01;2.509967e-01;7.432209e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-111.mat
2.249733e-01;6.086104e+00;5.880283e-01;2.420205e-01;4.651609e+00;3.929956e+00;9.384774e-01;3.891980e-01;4.438864e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-136.mat
1.840554e-01;5.470729e+00;6.926993e-01;2.348364e-01;4.196682e+00;3.541117e+00;9.373787e-01;3.222300e-01;6.401601e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-150.mat
2.405054e-01;6.769553e+00;5.622162e-01;3.033962e-01;4.395685e+00;4.451950e+00;9.372910e-01;2.865914e-01;5.807860e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-115.mat
2.031322e-01;6.164967e+00;8.881076e-01;2.515618e-01;4.345315e+00;3.737430e+00;9.368092e-01;3.665967e-01;7.052188e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-119.mat
1.923442e-01;6.171498e+00;6.810904e-01;2.921983e-01;3.827468e+00;4.095576e+00;9.355835e-01;4.132713e-01;7.622161e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-137.mat
1.994056e-01;6.019673e+00;8.071886e-01;2.609085e-01;4.058848e+00;3.961982e+00;9.354236e-01;3.640655e-01;7.140489e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-143.mat
2.229521e-01;6.687932e+00;9.476305e-01;2.883520e-01;4.541255e+00;3.890336e+00;9.353915e-01;3.443845e-01;6.861920e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-135.mat
2.118069e-01;5.752567e+00;7.259671e-01;2.380777e-01;4.368749e+00;3.919897e+00;9.351560e-01;3.882273e-01;6.185145e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-117.mat
2.043558e-01;6.505644e+00;9.526224e-01;2.803390e-01;4.087585e+00;3.939800e+00;9.351281e-01;4.956567e-01;4.201842e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-140.mat
1.906654e-01;5.486868e+00;8.857450e-01;2.324042e-01;4.490987e+00;3.415724e+00;9.348745e-01;3.634858e-01;7.331504e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-131.mat
1.988241e-01;5.592662e+00;7.097657e-01;2.477231e-01;4.740431e+00;3.349242e+00;9.342857e-01;3.665691e-01;7.495340e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/b//data//Ostrenko2019-pe-dc-tcs-sample-120.mat
1.978364e-01;5.887732e+00;9.045999e-01;2.791034e-01;3.523740e+00;4.391346e+00;9.331411e-01;3.216574e-01;4.112087e+04
